"ID","ROUTE","COUNTY","PM","LON","LAT"
541,88,"AMA",17,-120.22236,38.12221
542,88,"AMA",26.5,-120.18661,38.13768
543,88,"AMA",27,-120.18452,38.13905
544,88,"AMA",28.5,-120.17837,38.14181
545,88,"AMA",22,-120.20416,38.13486
546,49,"AMA",21,-120.25701,38.17509
547,88,"AMA",22,-120.20416,38.13486
548,104,"AMA",9.2,-120.24727,38.12463
549,88,"AMA",19.5,-120.21099,38.12795
550,88,"AMA",26.5,-120.18661,38.13768
551,88,"AMA",30,-120.17079,38.14374
553,88,"AMA",25.5,-120.18975,38.13416
554,88,"AMA",20.3,-120.20729,38.12939
555,88,"AMA",25,-120.19249,38.13343
556,49,"AMA",3,-120.23067,38.11453
557,16,"AMA",1.7,-120.30221,38.15891
558,88,"AMA",25.5,-120.18975,38.13416
559,124,"AMA",4,-120.27865,38.12641
560,88,"AMA",23,-120.20102,38.13781
561,49,"MPA",17.5,-119.98543,37.85051
562,49,"MPA",17.7,-119.98624,37.8511
563,140,"MPA",23.7,-119.98862,37.86281
564,49,"MPA",16.9,-119.98397,37.84819
565,49,"MPA",16.4,NA,NA
566,49,"MPA",17.5,-119.98543,37.85051
567,49,"MPA",25.3,-120.0231,37.86539
568,49,"MPA",12.1,-119.96504,37.84823
569,49,"MPA",13,-119.96976,37.84671
570,49,"MPA",17,-119.98421,37.84859
571,140,"MPA",12.5,-120.02209,37.84808
572,49,"MPA",5.5,-119.93359,37.84804
573,49,"MPA",16.6,NA,NA
574,140,"MPA",2.5,-120.05565,37.81624
575,49,"MPA",13.5,-119.97233,37.84606
576,49,"MPA",5.3,-119.93248,37.848
577,49,"MPA",3.5,-119.92515,37.84326
578,49,"MPA",3.5,-119.92515,37.84326
579,49,"MPA",13.9,-119.97457,37.84656
580,49,"MPA",11,-119.95999,37.84608
581,49,"MPA",13.9,-119.97457,37.84656
582,49,"MPA",12.5,-119.96727,37.8479
583,49,"MPA",16.4,NA,NA
584,49,"MPA",17.1,-119.98444,37.84899
585,49,"MPA",12.9,-119.96933,37.84703
586,49,"MPA",11,-119.95999,37.84608
587,49,"MPA",2.5,-119.92061,37.84113
589,140,"MPA",51,-119.94344,37.91021
590,49,"MPA",3.8,-119.92664,37.84386
591,49,"MPA",14.3,-119.97662,37.84696
592,49,"MPA",14.3,-119.97662,37.84696
593,49,"MPA",18,-119.98713,37.85217
594,140,"MPA",22.2,-119.99187,37.85782
595,49,"MPA",12.4,-119.9667,37.848
596,49,"MPA",15.5,-119.98283,37.847
597,140,"MPA",14.5,-120.0171,37.85187
598,49,"MPA",22.3,-120.00986,37.86184
599,49,"MPA",9.5,-119.95371,37.84307
600,49,"MPA",16.5,NA,NA
601,49,"MPA",16.6,NA,NA
602,140,"MPA",13.7,-120.02121,37.8521
603,49,"MPA",13.9,-119.97457,37.84656
604,140,"MPA",12.9,-120.02287,37.84959
605,140,"MPA",17.2,-120.00334,37.85316
606,49,"MPA",2.3,-119.91973,37.84057
607,140,"MPA",18,-119.9995,37.85489
